f_Hz,SPL_dB
183,52.31
285,51.80
391,51.19
481,49.23
587,46.24
690,43.85
785,41.20
895,37.55
995,36.40
1098,32.97
1198,31.09
1303,28.63
1397,28.75
1504,25.90
1595,26.44
1697,24.55
1807,24.56
1904,23.81
2010,23.85
