f_Hz,SPL_dB
181,59.87
283,61.61
385,62.79
486,61.79
587,59.75
686,57.35
790,55.79
889,52.31
985,52.08
1089,48.15
1196,47.23
1298,44.60
1394,43.68
1502,41.46
1594,42.30
1693,39.94
1801,40.45
1900,38.93
1999,39.61
2101,38.11
2208,36.15
2300,36.68
