f_Hz,SPL_dB
279,74.47
383,75.86
487,76.00
587,74.44
688,74.23
785,74.09
889,71.82
997,71.48
1093,68.79
1196,67.75
1287,64.55
1393,64.08
1495,63.84
1589,63.21
1696,62.24
1795,62.08
1895,62.24
1994,61.72
2090,61.94
2197,61.28
2301,60.84
2395,59.84
2803,55.88
2905,55.11
3007,54.55
