f_Hz,SPL_dB
132.9,34.08
143.3,34.08
261.2,35.41
281.6,35.08
303.5,36.24
327.2,36.07
352.7,35.74
380.1,34.75
409.8,33.75
441.7,34.08
476.1,34.08
513.3,34.25
553.3,33.08
596.4,32.59
642.9,31.84
693.0,31.96
747.0,32.09
805.2,32.09
867.9,30.84
935.6,30.59
1008.5,30.63
1087.1,30.09
1171.8,28.68
1263.2,28.76
1361.6,28.60
1467.8,26.19
1582.2,26.85
1705.5,23.36
1838.4,23.53
1981.7,20.79
2136.1,20.50
2302.6,17.05
2482.1,16.30
2675.5,16.55
2884.1,15.06
3108.9,11.15
3351.2,10.57
3612.4,10.32
3893.9,9.24
4197.4,9.91
4524.5,8.74
4877.2,7.25
5257.3,6.87
5667.1,1.18
6108.8,0.06
6584.9,-0.81
7098.1,-4.13
7651.3,-2.80
8247.7,-4.51
8890.5,-9.66
9583.4,-9.45
11135.5,-10.45
12003.4,-14.18
13947.4,-17.38
15034.5,-18.59
16206.3,-18.84
