f_Hz,SPL_dB
116.1,42.97
134.5,42.67
155.7,42.00
167.6,43.20
180.4,43.89
194.1,44.72
208.9,45.38
224.8,45.05
241.9,46.55
260.3,45.91
280.1,46.08
301.5,46.64
324.4,47.06
349.1,47.45
375.7,47.04
404.4,45.92
435.2,46.51
468.3,46.52
504.0,47.22
542.3,46.84
583.7,46.19
628.1,45.23
675.9,45.46
727.4,46.04
782.8,46.07
842.4,45.38
906.6,44.97
975.6,44.63
1050.0,44.61
1129.9,43.76
1216.0,43.02
1308.6,43.53
1408.2,42.38
1515.5,40.72
1630.9,40.90
1755.1,38.19
1888.8,38.35
2032.7,36.11
2187.5,34.88
2354.1,32.14
2533.4,30.85
2726.3,31.21
2933.9,29.88
3157.4,26.58
3397.9,25.30
3656.7,25.13
3935.1,25.52
4234.9,26.73
4557.4,25.23
4904.5,25.74
5278.0,25.14
5680.0,21.74
6112.6,20.59
6578.1,17.94
7079.1,16.87
7618.3,18.13
8198.5,17.24
8822.9,16.18
9494.8,12.94
10218.0,11.43
10996.2,11.54
11833.7,11.42
12734.9,8.85
13704.8,7.30
14748.6,6.35
15871.9,5.47
17080.7,3.47
18381.6,0.74
19781.6,-1.13
21288.1,-3.63
22909.5,-5.98
24654.3,-14.25
