f_Hz,SPL_dB
116.1,38.21
134.5,39.96
155.7,40.53
167.6,40.91
180.4,41.54
194.1,41.78
208.9,42.69
224.8,42.72
241.9,43.02
260.3,42.96
280.1,43.54
301.5,43.51
324.4,43.49
349.1,43.61
375.7,43.85
404.4,41.86
435.2,42.75
468.3,43.08
504.0,43.18
542.3,42.33
583.7,41.57
628.1,40.48
675.9,41.45
727.4,41.75
782.8,41.76
842.4,40.72
906.6,40.19
975.6,40.42
1050.0,40.49
1129.9,39.26
1216.0,38.31
1308.6,38.91
1408.2,37.45
1515.5,35.98
1630.9,36.49
1755.1,33.75
1888.8,33.70
2032.7,31.33
2187.5,30.04
2354.1,27.35
2533.4,26.03
2726.3,26.88
2933.9,25.00
3157.4,21.82
3397.9,20.89
3656.7,20.34
3935.1,20.93
4234.9,22.34
4557.4,20.44
4904.5,20.87
5278.0,19.97
5680.0,16.91
6112.6,16.00
6578.1,13.03
7079.1,11.52
7618.3,12.49
8198.5,11.81
8822.9,10.93
9494.8,7.92
10218.0,6.03
10996.2,5.46
11833.7,5.54
12734.9,2.62
13704.8,1.20
14748.6,-0.62
15871.9,-1.44
17080.7,-3.62
18381.6,-5.67
19781.6,-7.82
21288.1,-11.04
22909.5,-12.62
24654.3,-19.57
