f_Hz,SPL_dB
284,69.03
384,70.71
487,69.88
581,69.42
696,67.77
782,66.72
886,64.05
991,63.79
1088,60.57
1188,59.57
1289,56.79
1387,54.96
1492,53.86
1596,54.43
1695,52.99
1790,52.81
1894,52.89
1996,52.10
2103,51.94
2196,50.64
2304,50.67
2406,49.54
2503,47.88
