f_Hz,SPL_dB
282,78.18
383,79.90
484,80.43
579,80.08
689,80.46
781,79.99
885,78.89
980,79.79
1095,77.59
1190,76.63
1291,74.64
1395,75.22
1498,72.34
1592,72.13
1699,71.07
1790,71.15
1894,70.90
1996,71.41
2091,72.16
2200,71.64
2304,71.13
2404,70.33
2497,69.43
2599,69.50
2703,68.41
2801,67.60
2905,67.29
3008,66.05
3101,66.42
3204,65.19
3306,65.81
3412,64.62
3507,64.32
3607,63.81
3660,83.18
3662,85.28
3664,79.28
3664,81.25
3671,77.36
3707,62.08
3808,63.39
3911,62.11
4007,63.21
4208,61.61
4309,62.46
