f_Hz,SPL_dB
132.9,42.39
143.3,42.06
261.2,46.09
281.6,46.04
303.5,46.75
327.2,47.04
352.7,47.37
380.1,46.79
409.8,46.29
441.7,46.54
476.1,46.21
513.3,47.21
553.3,46.71
596.4,46.21
642.9,45.17
693.0,45.71
747.0,46.29
805.2,46.04
867.9,44.96
935.6,44.67
1008.5,44.71
1087.1,44.38
1171.8,43.63
1263.2,43.05
1361.6,43.22
1467.8,40.56
1582.2,41.56
1705.5,38.57
1838.4,38.40
1981.7,35.91
2136.1,36.12
2302.6,32.25
2482.1,31.09
2675.5,31.09
2884.1,29.60
3108.9,25.94
3351.2,25.44
3612.4,25.19
3893.9,24.94
4197.4,25.94
4524.5,24.78
4877.2,25.19
5257.3,24.61
5667.1,21.87
6108.8,20.00
6584.9,17.72
7098.1,16.97
7651.3,17.80
8247.7,16.84
8890.5,15.43
9583.4,13.31
10330.4,10.99
11135.5,10.94
12003.4,10.82
13947.4,3.88
15034.5,3.80
16206.3,3.30
