# time = 2.8
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -1.2309587990e-01  -1.2329848197e-01   1.1835808141e+00   9.6679422030e-01   1.2888963090e+00
  -1.2268399812e-01  -1.2289327783e-01   1.2864965059e+00   8.2561784398e-01   1.4072279219e+00
  -1.2222883477e-01  -1.2247471841e-01   1.3858066598e+00   6.5975206718e-01   1.5219904728e+00
  -1.2166579755e-01  -1.2198295113e-01   1.4851489033e+00   4.4229944867e-01   1.6367670181e+00
  -1.2100681742e-01  -1.2134864398e-01   1.5667854902e+00   1.7427695510e-01   1.7297853816e+00
  -1.2033101348e-01  -1.2066499086e-01   1.6097115977e+00  -1.1058941359e-01   1.7754755240e+00
  -1.1966127974e-01  -1.1999703611e-01   1.6103772166e+00  -3.9539296997e-01   1.7692170186e+00
  -1.1897643891e-01  -1.1932552336e-01   1.5688487274e+00  -6.8032335515e-01   1.7109404694e+00
  -1.1829562328e-01  -1.1862735445e-01   1.4879276880e+00  -9.4791271663e-01   1.6049709974e+00
  -1.1770419984e-01  -1.1796389211e-01   1.3888140189e+00  -1.1595976795e+00   1.4789795486e+00
  -1.1722142010e-01  -1.1744450757e-01   1.2892697751e+00  -1.3139626575e+00   1.3550611913e+00
  -1.1679686199e-01  -1.1699833264e-01   1.1902538565e+00  -1.4322741676e+00   1.2339640101e+00
  -1.1640811963e-01  -1.1659539135e-01   1.0913632283e+00  -1.5248935795e+00   1.1150546573e+00
  -1.1604340775e-01  -1.1622084791e-01   9.9222633258e-01  -1.5971108818e+00   9.9789470427e-01
  -1.1569540746e-01  -1.1586596759e-01   8.9369341679e-01  -1.6513803729e+00   8.8353944430e-01
  -1.1535912656e-01  -1.1552484734e-01   7.9424262975e-01  -1.6903048793e+00   7.7034366323e-01
  -1.1503087022e-01  -1.1519340579e-01   6.9572420901e-01  -1.7143439185e+00   6.6055558814e-01
  -1.1470767685e-01  -1.1486833464e-01   5.9699319995e-01  -1.7247308351e+00   5.5303954847e-01
  -1.1438708990e-01  -1.1454701906e-01   4.9768171522e-01  -1.7217175176e+00   4.4764687917e-01
  -1.1406688992e-01  -1.1422716074e-01   3.9875386464e-01  -1.7054599540e+00   3.4566433964e-01
  -1.1374497447e-01  -1.1390661911e-01   3.0002259991e-01  -1.6760412313e+00   2.4716295463e-01
  -1.1341925641e-01  -1.1358332983e-01   2.0144677449e-01  -1.6333093748e+00   1.5242966791e-01
  -1.1308749873e-01  -1.1325518299e-01   1.0203610191e-01  -1.5762150446e+00   6.0991786544e-02
  -1.1274725557e-01  -1.1291981448e-01   3.6743771546e-03  -1.5052669230e+00  -2.4926076143e-02
  -1.1239564724e-01  -1.1257469666e-01  -9.5693989130e-02  -1.4180773923e+00  -1.0647999741e-01
  -1.1202916641e-01  -1.1221659781e-01  -1.9432391161e-01  -1.3148955582e+00  -1.8142011177e-01
  -1.1164334828e-01  -1.1184173502e-01  -2.9336069535e-01  -1.1930066628e+00  -2.4963819123e-01
  -1.1123215807e-01  -1.1144496154e-01  -3.9214155334e-01  -1.0509828801e+00  -3.0932767040e-01
  -1.1078696351e-01  -1.1101935460e-01  -4.9117858598e-01  -8.8499403326e-01  -3.5896573825e-01
  -1.1029446205e-01  -1.1055457241e-01  -5.9005177705e-01  -6.9116411304e-01  -3.9569015184e-01
  -1.0973180741e-01  -1.1003435170e-01  -6.8912404778e-01  -4.6149704644e-01  -4.1551176911e-01
  -1.0908280201e-01  -1.0942926313e-01  -7.8470294800e-01  -1.9407170818e-01  -4.1184178795e-01
  -1.0837089403e-01  -1.0873634089e-01  -8.6651942679e-01   9.0375304958e-02  -3.8070254285e-01
  -1.0759935101e-01  -1.0800544716e-01  -9.2889985418e-01   3.7597222284e-01  -3.2319451658e-01
  -1.0669884712e-01  -1.0719325487e-01  -9.6869118091e-01   6.6222408993e-01  -2.3961018783e-01
  -1.0543482378e-01  -1.0620443937e-01  -9.6876752222e-01   9.5337833253e-01  -1.2646379077e-01
  -1.0398253494e-01  -1.0466520819e-01  -9.0124864763e-01   1.1274855695e+00  -4.7487591775e-02
  -1.0284235823e-01  -1.0329986170e-01  -8.0045137212e-01   1.1494745763e+00  -4.7581028019e-02
  -1.0201213088e-01  -1.0238485477e-01  -7.0123478345e-01   1.1113181201e+00  -8.7005413809e-02
  -1.0131427950e-01  -1.0163940700e-01  -6.0235866742e-01   1.0524286952e+00  -1.4266491631e-01
  -1.0069484999e-01  -1.0098915199e-01  -5.0336675063e-01   9.8428528534e-01  -2.0582636353e-01
  -1.0012745683e-01  -1.0040054798e-01  -4.0462058737e-01   9.1206354036e-01  -2.7136807506e-01
  -9.9596296421e-02  -9.9854365688e-02  -3.0574001068e-01   8.3770452588e-01  -3.3649753609e-01
  -9.9090679861e-02  -9.9338227153e-02  -2.0692707405e-01   7.6224194804e-01  -3.9903040647e-01
  -9.8602565212e-02  -9.8843132568e-02  -1.0805145296e-01   6.8571317324e-01  -4.5756698240e-01
  -9.8125341509e-02  -9.8361997855e-02  -9.3280481168e-03   6.0793270900e-01  -5.1084325856e-01
  -9.7653037136e-02  -9.7888685162e-02   8.9626741660e-02   5.2785249382e-01  -5.5808921517e-01
  -9.7179682762e-02  -9.7417389109e-02   1.8855620307e-01   4.4453727346e-01  -5.9824297901e-01
  -9.6698636421e-02  -9.6941976416e-02   2.8734615834e-01   3.5648851507e-01  -6.3032169518e-01
  -9.6201615152e-02  -9.6455296426e-02   3.8624174740e-01   2.6118189573e-01  -6.5325054856e-01
  -9.5676881108e-02  -9.5947933878e-02   4.8521591618e-01   1.5509406205e-01  -6.6538860457e-01
  -9.5105171719e-02  -9.5405828337e-02   5.8422192442e-01   3.2324141610e-02  -6.6416674932e-01
  -9.4447098414e-02  -9.4804515101e-02   6.8366634234e-01  -1.1976596469e-01  -6.4451926832e-01
  -9.3608615436e-02  -9.4089681727e-02   7.8176527595e-01  -3.3148347752e-01  -5.9378765025e-01
  -9.2639898879e-02  -9.3127549144e-02   8.4929935003e-01  -6.0015885918e-01  -5.0771000270e-01
  -9.1695075449e-02  -9.2152248613e-02   8.6131657340e-01  -8.8417246899e-01  -4.0530842170e-01
