# time = 1.8
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -2.0295079553e-01  -2.0328482987e-01   1.1061902284e+00   7.4802838879e-01   1.0579909188e+00
  -2.0227171728e-01  -2.0261676119e-01   1.2023781515e+00   6.3879609330e-01   1.1551229956e+00
  -2.0152127977e-01  -2.0192667336e-01   1.2951964395e+00   5.1046098384e-01   1.2493253645e+00
  -2.0059298834e-01  -2.0111588619e-01   1.3880450631e+00   3.4221179328e-01   1.3435391289e+00
  -1.9950651377e-01  -2.0007009050e-01   1.4643459640e+00   1.3483545233e-01   1.4198926433e+00
  -1.9839230145e-01  -1.9894293705e-01   1.5044673936e+00  -8.5573264052e-02   1.4573968504e+00
  -1.9728809718e-01  -1.9784166585e-01   1.5050913272e+00  -3.0593319720e-01   1.4522591144e+00
  -1.9615898554e-01  -1.9673452851e-01   1.4662798051e+00  -5.2639107792e-01   1.4044224723e+00
  -1.9503651034e-01  -1.9558344258e-01   1.3906511110e+00  -7.3343158510e-01   1.3174372157e+00
  -1.9406141793e-01  -1.9448957810e-01   1.2980188717e+00  -8.9721732206e-01   1.2140170416e+00
  -1.9326544871e-01  -1.9363325776e-01   1.2049838507e+00  -1.0166530897e+00   1.1122986432e+00
  -1.9256547072e-01  -1.9289763966e-01   1.1124423931e+00  -1.1081933502e+00   1.0128960495e+00
  -1.9192454291e-01  -1.9223330178e-01   1.0200178820e+00  -1.1798549630e+00   9.1528936090e-01
  -1.9132323468e-01  -1.9161578404e-01   9.2736308769e-01  -1.2357309284e+00   8.1911868452e-01
  -1.9074947920e-01  -1.9103068531e-01   8.3527268477e-01  -1.2777202045e+00   7.2525025130e-01
  -1.9019504574e-01  -1.9046827310e-01   7.4232434023e-01  -1.3078366589e+00   6.3233358417e-01
  -1.8965384252e-01  -1.8992181837e-01   6.5024732583e-01  -1.3264358402e+00   5.4221413522e-01
  -1.8912098674e-01  -1.8938586666e-01   5.5797155492e-01  -1.3344720140e+00   4.5395968730e-01
  -1.8859242821e-01  -1.8885610682e-01   4.6515319717e-01  -1.3321400705e+00   3.6744820625e-01
  -1.8806450770e-01  -1.8832874960e-01   3.7269333085e-01  -1.3195607058e+00   2.8373592493e-01
  -1.8753375884e-01  -1.8780026580e-01   2.8041714027e-01  -1.2967982052e+00   2.0288114145e-01
  -1.8699674055e-01  -1.8726725189e-01   1.8828617123e-01  -1.2637349811e+00   1.2511939075e-01
  -1.8644976461e-01  -1.8672622922e-01   9.5374882214e-02  -1.2195591264e+00   5.0062660073e-02
  -1.8588879847e-01  -1.8617330001e-01   3.4439081456e-03  -1.1646642300e+00  -2.0462981422e-02
  -1.8530909433e-01  -1.8560429692e-01  -8.9427948823e-02  -1.0972029187e+00  -8.7406503473e-02
  -1.8470486961e-01  -1.8501389174e-01  -1.8160969448e-01  -1.0173679396e+00  -1.4892110973e-01
  -1.8406876303e-01  -1.8439584747e-01  -2.7417175766e-01  -9.2305880596e-01  -2.0491796802e-01
  -1.8339082499e-01  -1.8374167860e-01  -3.6649468457e-01  -8.1317077297e-01  -2.5391416768e-01
  -1.8265682325e-01  -1.8303997139e-01  -4.5905709978e-01  -6.8474032720e-01  -2.9465972164e-01
  -1.8184482563e-01  -1.8227367511e-01  -5.5146645153e-01  -5.3476849711e-01  -3.2480517424e-01
  -1.8091716495e-01  -1.8141597615e-01  -6.4406194489e-01  -3.5706850362e-01  -3.4107606529e-01
  -1.7984713595e-01  -1.8041835376e-01  -7.3339253581e-01  -1.5015393459e-01  -3.3806400176e-01
  -1.7867339811e-01  -1.7927591813e-01  -8.0986050745e-01   6.9930705835e-02  -3.1250389695e-01
  -1.7740133873e-01  -1.7807087808e-01  -8.6816314215e-01   2.9090497736e-01  -2.6529904757e-01
  -1.7591665880e-01  -1.7673179938e-01  -9.0535357307e-01   5.1238589892e-01  -1.9668950374e-01
  -1.7383263664e-01  -1.7510151823e-01  -9.0542580021e-01   7.3765970905e-01  -1.0381384213e-01
  -1.7143821714e-01  -1.7256375505e-01  -8.4232251222e-01   8.7237070519e-01  -3.8986047144e-02
  -1.6955838355e-01  -1.7031267924e-01  -7.4811668049e-01   8.8938351321e-01  -3.9061773804e-02
  -1.6818957006e-01  -1.6880408786e-01  -6.5538814062e-01   8.5986015295e-01  -7.1422057935e-02
  -1.6703900763e-01  -1.6757505226e-01  -5.6297782373e-01   8.1429512906e-01  -1.1710882322e-01
  -1.6601774102e-01  -1.6650296300e-01  -4.7045928728e-01   7.6157004234e-01  -1.6895350389e-01
  -1.6508226786e-01  -1.6553251905e-01  -3.7817042933e-01   7.0568943904e-01  -2.2275201139e-01
  -1.6420653239e-01  -1.6463201668e-01  -2.8575592932e-01   6.4815517460e-01  -2.7621212956e-01
  -1.6337291161e-01  -1.6378104810e-01  -1.9340461452e-01   5.8976705955e-01  -3.2754086360e-01
  -1.6256814661e-01  -1.6296477513e-01  -1.0099466961e-01   5.3055400686e-01  -3.7558927868e-01
  -1.6178133774e-01  -1.6217151809e-01  -8.7269294615e-03   4.7037249985e-01  -4.1931983039e-01
  -1.6100263947e-01  -1.6139115739e-01   8.3757137015e-02   4.0841162492e-01  -4.5810045364e-01
  -1.6022221005e-01  -1.6061412156e-01   1.7621761964e-01   3.4394775511e-01  -4.9105952394e-01
  -1.5942909872e-01  -1.5983029854e-01   2.6854782615e-01   2.7582143908e-01  -5.1739027793e-01
  -1.5860964918e-01  -1.5902789889e-01   3.6097689333e-01   2.0207954286e-01  -5.3621046607e-01
  -1.5774450900e-01  -1.5819139946e-01   4.5347957512e-01   1.1999595938e-01  -5.4617314935e-01
  -1.5680191957e-01  -1.5729761853e-01   5.4601225121e-01   2.5005035081e-02  -5.4516950605e-01
  -1.5571694011e-01  -1.5630622061e-01   6.3895503744e-01  -9.2671649622e-02  -5.2904141140e-01
  -1.5433451539e-01  -1.5512765962e-01   7.3064101268e-01  -2.5648354536e-01  -4.8739831731e-01
  -1.5273737180e-01  -1.5354137116e-01   7.9376152599e-01  -4.6436496303e-01  -4.1674215491e-01
  -1.5117962131e-01  -1.5193337243e-01   8.0499578069e-01  -6.8411357519e-01  -3.3268718683e-01
  -1.4969234671e-01  -1.5042587019e-01   7.6661913476e-01  -9.0424887846e-01  -2.4745444792e-01
  -1.4830409166e-01  -1.4895882323e-01   6.8933241832e-01  -1.1110520244e+00  -1.7110003579e-01
  -1.4713846454e-01  -1.4764936009e-01   5.9632230679e-01  -1.2798420800e+00  -1.1347777412e-01
  -1.4618514412e-01  -1.4662756899e-01   5.0365396010e-01  -1.4100537021e+00  -7.2883850709e-02
  -1.4533881980e-01  -1.4574271926e-01   4.1103269790e-01  -1.5171415401e+00  -4.2502463077e-02
  -1.4455403568e-01  -1.4493492034e-01   3.1835624795e-01  -1.6071277591e+00  -1.9417115495e-02
  -1.4380542977e-01  -1.4417315102e-01   2.2611730474e-01  -1.6825007373e+00  -2.0848139305e-03
  -1.4307596612e-01  -1.4343770852e-01   1.3367023234e-01  -1.7452179103e+00   1.0679261401e-02
  -1.4235224608e-01  -1.4271422373e-01   4.1181809679e-02  -1.7955419590e+00   1.9568324057e-02
  -1.4162184135e-01  -1.4199026842e-01  -5.1443317303e-02  -1.8331819511e+00   2.5163502671e-02
  -1.4087143668e-01  -1.4125341427e-01  -1.4371417965e-01  -1.8569304741e+00   2.7962489806e-02
  -1.4008437109e-01  -1.4048945910e-01  -2.3625408218e-01  -1.8648546799e+00   2.8510454220e-02
  -1.3923628884e-01  -1.3967928307e-01  -3.2883627242e-01  -1.8529722117e+00   2.7439136065e-02
  -1.3828487034e-01  -1.3879329460e-01  -4.2148891946e-01  -1.8138023528e+00   2.5769434743e-02
  -1.3713345205e-01  -1.3777644608e-01  -5.1466289185e-01  -1.7295163029e+00   2.5735262713e-02
  -1.3568497846e-01  -1.3649045803e-01  -5.9843178611e-01  -1.5682272194e+00   3.3437104423e-02
  -1.3422488889e-01  -1.3487949890e-01  -6.4389901926e-01  -1.3503795133e+00   5.4251093534e-02
  -1.3300151455e-01  -1.3357027888e-01  -6.5022103024e-01  -1.1295158876e+00   8.4801013657e-02
  -1.3191131234e-01  -1.3243275023e-01  -6.3267495653e-01  -9.0870389004e-01   1.2281863930e-01
  -1.3089508757e-01  -1.3138987445e-01  -5.9846548870e-01  -6.8855971489e-01   1.6672911762e-01
  -1.2991845683e-01  -1.3040030069e-01  -5.5105044452e-01  -4.6770227801e-01   2.1560923756e-01
  -1.2895642439e-01  -1.2943661298e-01  -4.9281376240e-01  -2.4779069776e-01   2.6792048098e-01
  -1.2798635642e-01  -1.2847623580e-01  -4.2413471618e-01  -2.6746065974e-02   3.2285461141e-01
  -1.2698288765e-01  -1.2749647705e-01  -3.4559825346e-01   1.9348291787e-01   3.7826282230e-01
  -1.2593438034e-01  -1.2646929825e-01  -2.5763357151e-01   4.0959440622e-01   4.3090860844e-01
  -1.2487433314e-01  -1.2539946242e-01  -1.6539890432e-01   6.0677852447e-01   4.7403604294e-01
  -1.2382195812e-01  -1.2434920385e-01  -7.3158193397e-02   7.7489463172e-01   5.0207118066e-01
  -1.2275268397e-01  -1.2329471239e-01   1.9356231963e-02   9.1253458761e-01   5.1106565393e-01
  -1.2163956086e-01  -1.2221065555e-01   1.1156339576e-01   1.0143406970e+00   4.9541739337e-01
  -1.2044811377e-01  -1.2106846616e-01   2.0395766920e-01   1.0728506714e+00   4.4696794847e-01
  -1.1912264300e-01  -1.1982776138e-01   2.9640460741e-01   1.0734986310e+00   3.5263059895e-01
  -1.1772393701e-01  -1.1841752463e-01   3.7997732080e-01   1.0025873628e+00   2.0910964737e-01
  -1.1644760717e-01  -1.1703034939e-01   4.4158467748e-01   8.7878286522e-01   4.4339636921e-02
  -1.1533254044e-01  -1.1586486496e-01   4.8248316479e-01   7.2961032798e-01  -1.2042594566e-01
  -1.1428662399e-01  -1.1480021592e-01   5.0860500556e-01   5.6291078121e-01  -2.8466230234e-01
  -1.1325345280e-01  -1.1377303207e-01   5.2190078461e-01   3.8020017909e-01  -4.4899149998e-01
  -1.1217817474e-01  -1.1273387354e-01   5.2145545508e-01   1.7985561302e-01  -6.1371369761e-01
  -1.1102178738e-01  -1.1162247594e-01   5.0362005214e-01  -3.5527487624e-02  -7.7287911081e-01
  -1.0975851435e-01  -1.1042109883e-01   4.6239392521e-01  -2.5667495769e-01  -9.1269642148e-01
  -1.0838189949e-01  -1.0909592986e-01   3.9070794505e-01  -4.6438776690e-01  -1.0102598833e+00
  -1.0709908301e-01  -1.0766786911e-01   2.9929539836e-01  -6.1438050748e-01  -1.0403674897e+00
  -1.0604765602e-01  -1.0653029690e-01   2.0649233058e-01  -6.9822287159e-01  -1.0149563216e+00
  -1.0513391058e-01  -1.0556501514e-01   1.1414078675e-01  -7.3952282145e-01  -9.5533187143e-01
  -1.0430559848e-01  -1.0470280601e-01   2.1495549003e-02  -7.5115678856e-01  -8.7132362893e-01
  -1.0353409562e-01  -1.0390839095e-01  -7.0743504006e-02  -7.4008771146e-01  -7.6936356852e-01
  -1.0280102512e-01  -1.0315980029e-01  -1.6333763962e-01  -7.1068079350e-01  -6.5228393930e-01
  -1.0209325547e-01  -1.0244224995e-01  -2.5560835939e-01  -6.6607350929e-01  -5.2336837893e-01
  -1.0140027635e-01  -1.0174426099e-01  -3.4832072194e-01  -6.0787924704e-01  -3.8322013477e-01
  -1.0071280259e-01  -1.0105629171e-01  -4.4064072121e-01  -5.3794603842e-01  -2.3425317196e-01
  -1.0002211527e-01  -1.0036931347e-01  -5.3292170382e-01  -4.5690697580e-01  -7.6729842973e-02
  -9.9329986179e-02  -9.9674917074e-02  -6.2362920198e-01  -3.6668409508e-01   8.6134442784e-02
  -9.8641197414e-02  -9.8985055284e-02  -7.1095561739e-01  -2.6961486710e-01   2.5050631571e-01
  -9.7948105760e-02  -9.8297339545e-02  -7.9439556364e-01  -1.6657223850e-01   4.1499906223e-01
  -9.7236939558e-02  -9.7598871975e-02  -8.7365817493e-01  -5.7651639669e-02   5.7900030835e-01
  -9.6490395871e-02  -9.6875007141e-02  -9.4896673439e-01   5.8897841414e-02   7.4372465668e-01
  -9.5682836087e-02  -9.6105784601e-02  -1.0188297492e+00   1.8410412670e-01   9.0789103318e-01
  -9.4767327806e-02  -9.5259887573e-02  -1.0817736194e+00   3.2321515569e-01   1.0729445912e+00
  -9.3623648534e-02  -9.4274768040e-02  -1.1320149803e+00   4.8775018955e-01   1.2391843689e+00
  -9.2069929878e-02  -9.2972529029e-02  -1.1444526054e+00   6.8921401202e-01   1.3838916601e+00
