# time = 0.9
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -4.9917840810e-01  -5.0000000000e-01   1.1719040212e+00   5.9918166550e-01   9.3443163890e-01
  -4.9750814511e-01  -4.9835681619e-01   1.2738069906e+00   5.1168417801e-01   1.0202195987e+00
  -4.9566236670e-01  -4.9665947403e-01   1.3721402412e+00   4.0888497763e-01   1.1034199661e+00
  -4.9337913820e-01  -4.9466525936e-01   1.4705058417e+00   2.7411382427e-01   1.1866303188e+00
  -4.9070684198e-01  -4.9209301703e-01   1.5513408320e+00   1.0800111432e-01   1.2540662190e+00
  -4.8796632188e-01  -4.8932066692e-01   1.5938470080e+00  -6.8550672439e-02   1.2871899454e+00
  -4.8525041762e-01  -4.8661197685e-01   1.5945091517e+00  -2.4506326476e-01   1.2826518264e+00
  -4.8247325112e-01  -4.8388885839e-01   1.5533929893e+00  -4.2165419731e-01   1.2404015520e+00
  -4.7971240761e-01  -4.8105764385e-01   1.4732722877e+00  -5.8749744222e-01   1.1635748032e+00
  -4.7731406729e-01  -4.7836717138e-01   1.3751376444e+00  -7.1869272288e-01   1.0722326272e+00
  -4.7535629892e-01  -4.7626096320e-01   1.2765760655e+00  -8.1436281277e-01   9.8239355723e-01
  -4.7363463088e-01  -4.7445163464e-01   1.1785372331e+00  -8.8768805854e-01   8.9459987953e-01
  -4.7205820286e-01  -4.7281762713e-01   1.0806221981e+00  -9.4509011918e-01   8.0839239746e-01
  -4.7057922324e-01  -4.7129877858e-01   9.8246312334e-01  -9.8984756611e-01   7.2345324134e-01
  -4.6916801250e-01  -4.6985966791e-01   8.8490190527e-01  -1.0234815041e+00   6.4054747229e-01
  -4.6780432622e-01  -4.6847635709e-01   7.8643172207e-01  -1.0476050753e+00   5.5848232884e-01
  -4.6647318109e-01  -4.6713229535e-01   6.8888458284e-01  -1.0625030864e+00   4.7888773451e-01
  -4.6516256736e-01  -4.6581406684e-01   5.9112683361e-01  -1.0689399190e+00   4.0094034165e-01
  -4.6386252316e-01  -4.6451106789e-01   4.9279421950e-01  -1.0670716824e+00   3.2453236680e-01
  -4.6256404824e-01  -4.6321397844e-01   3.9484135268e-01  -1.0569950591e+00   2.5059668611e-01
  -4.6125861670e-01  -4.6191411803e-01   2.9708303334e-01  -1.0387615417e+00   1.7918478786e-01
  -4.5993776484e-01  -4.6060311536e-01   1.9947852352e-01  -1.0122769398e+00   1.1050469815e-01
  -4.5859242112e-01  -4.5927241432e-01   1.0104729439e-01  -9.7689089584e-01   4.4213718538e-02
  -4.5721266704e-01  -4.5791242792e-01   3.6545814288e-03  -9.3291868777e-01  -1.8075346521e-02
  -4.5578682495e-01  -4.5651290616e-01  -9.4734955072e-02  -8.7888052588e-01  -7.7200639289e-02
  -4.5430067193e-01  -4.5506074373e-01  -1.9239342248e-01  -8.1493080886e-01  -1.3153104917e-01
  -4.5273610223e-01  -4.5354060013e-01  -2.9045484825e-01  -7.3938700067e-01  -1.8098812009e-01
  -4.5106864371e-01  -4.5193160433e-01  -3.8826297868e-01  -6.5136417938e-01  -2.2426213014e-01
  -4.4926329074e-01  -4.5020568309e-01  -4.8632487988e-01  -5.4848850841e-01  -2.6024907885e-01
  -4.4726609887e-01  -4.4832089838e-01  -5.8422468468e-01  -4.2835775075e-01  -2.8687390330e-01
  -4.4498442178e-01  -4.4621129935e-01  -6.8232176429e-01  -2.8601616823e-01  -3.0124456765e-01
  -4.4235257510e-01  -4.4375754422e-01  -7.7696004818e-01  -1.2027312287e-01  -2.9858432287e-01
  -4.3946564586e-01  -4.4094760599e-01  -8.5797157304e-01   5.6019383688e-02  -2.7600940696e-01
  -4.3633688466e-01  -4.3798368573e-01  -9.1973855712e-01   2.3302445170e-01  -2.3431761586e-01
  -4.3268516130e-01  -4.3469008358e-01  -9.5913907667e-01   4.1043529034e-01  -1.7372094961e-01
  -4.2755929390e-01  -4.3068023901e-01  -9.5921631155e-01   5.9088416402e-01  -9.1692094131e-02
  -4.2166997226e-01  -4.2443834879e-01  -8.9236480719e-01   6.9879008859e-01  -3.4435170142e-02
  -4.1704632770e-01  -4.1890159573e-01  -7.9256284920e-01   7.1241719476e-01  -3.4501552080e-02
  -4.1367958978e-01  -4.1519105967e-01  -6.9432586011e-01   6.8876787159e-01  -6.3081971632e-02
  -4.1084966285e-01  -4.1216811989e-01  -5.9642598149e-01   6.5226884013e-01  -1.0343246221e-01
  -4.0833775233e-01  -4.0953120581e-01  -4.9841144845e-01   6.1003444678e-01  -1.4922167866e-01
  -4.0603685963e-01  -4.0714429884e-01  -4.0064023109e-01   5.6527242079e-01  -1.9673653550e-01
