# time = 3
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -4.9917840810e-01  -5.0000000000e-01   1.2174854136e+00   1.0182332668e+00   1.3470909961e+00
  -4.9750814511e-01  -4.9835681619e-01   1.3233488486e+00   8.6954579168e-01   1.4707654769e+00
  -4.9566236670e-01  -4.9665947403e-01   1.4255034281e+00   6.9485532631e-01   1.5907097591e+00
  -4.9337913820e-01  -4.9466525936e-01   1.5276909379e+00   4.6583337037e-01   1.7106686876e+00
  -4.9070684198e-01  -4.9209301703e-01   1.6116655492e+00   1.8355097905e-01   1.8078870432e+00
  -4.8796632188e-01  -4.8932066692e-01   1.6558208233e+00  -1.1647149691e-01   1.8556402533e+00
  -4.8525041762e-01  -4.8661197685e-01   1.6565050901e+00  -4.1642786292e-01   1.8490992657e+00
  -4.8247325112e-01  -4.8388885839e-01   1.6137866315e+00  -7.1651784971e-01   1.7881915509e+00
  -4.7971240761e-01  -4.8105764385e-01   1.5305472785e+00  -9.9834423489e-01   1.6774375095e+00
  -4.7731406729e-01  -4.7836717138e-01   1.4285942621e+00  -1.2212918793e+00   1.5457574553e+00
  -4.7535629892e-01  -4.7626096320e-01   1.3261984190e+00  -1.3838698628e+00   1.4162440780e+00
  -4.7363463088e-01  -4.7445163464e-01   1.2243460847e+00  -1.5084761743e+00   1.2896792466e+00
  -4.7205820286e-01  -4.7281762713e-01   1.1226226642e+00  -1.6060234544e+00   1.1654010207e+00
  -4.7057922324e-01  -4.7129877858e-01   1.0206459485e+00  -1.6820831433e+00   1.0429511781e+00
  -4.6916801250e-01  -4.6985966791e-01   9.1929053600e-01  -1.7392401179e+00   9.2343266093e-01
  -4.6780432622e-01  -4.6847635709e-01   8.1699097879e-01  -1.7802356885e+00   8.0512597292e-01
  -4.6647318109e-01  -4.6713229535e-01   7.1565051239e-01  -1.8055538187e+00   6.9038085168e-01
  -4.6516256736e-01  -4.6581406684e-01   6.1409138336e-01  -1.8164934742e+00   5.7801035058e-01
  -4.6386252316e-01  -4.6451106789e-01   5.1193516543e-01  -1.8133199453e+00   4.6785909281e-01
  -4.6256404824e-01  -4.6321397844e-01   4.1017358412e-01  -1.7961975183e+00   3.6127193692e-01
  -4.6125861670e-01  -4.6191411803e-01   3.0861423249e-01  -1.7652137012e+00   2.5832311507e-01
  -4.5993776484e-01  -4.6060311536e-01   2.0721478485e-01  -1.7202084338e+00   1.5931252750e-01
  -4.5859242112e-01  -4.5927241432e-01   1.0495658867e-01  -1.6600765479e+00   6.3746139517e-02
  -4.5721266704e-01  -4.5791242792e-01   3.7773982131e-03  -1.5853537879e+00  -2.6050991305e-02
  -4.5578682495e-01  -4.5651290616e-01  -9.8437256087e-02  -1.4935255071e+00  -1.1128713905e-01
  -4.5430067193e-01  -4.5506074373e-01  -1.9989230289e-01  -1.3848540628e+00  -1.8961085356e-01
  -4.5273610223e-01  -4.5354060013e-01  -3.0176585293e-01  -1.2564802617e+00  -2.6090901847e-01
  -4.5106864371e-01  -4.5193160433e-01  -4.0337613421e-01  -1.1069003108e+00  -3.2329349833e-01
  -4.4926329074e-01  -4.5020568309e-01  -5.0524991486e-01  -9.3208025239e-01  -3.7517272274e-01
  -4.4726609887e-01  -4.4832089838e-01  -6.0695514698e-01  -7.2793785668e-01  -4.1355521191e-01
  -4.4498442178e-01  -4.4621129935e-01  -7.0886514522e-01  -4.8605162622e-01  -4.3427170376e-01
  -4.4235257510e-01  -4.4375754422e-01  -8.0718169372e-01  -2.0439822029e-01  -4.3043590008e-01
  -4.3946564586e-01  -4.4094760599e-01  -8.9134160473e-01   9.5182499490e-02  -3.9789054630e-01
  -4.3633688466e-01  -4.3798368573e-01  -9.5550873758e-01   3.9597432343e-01  -3.3778582207e-01
  -4.3268516130e-01  -4.3469008358e-01  -9.9643971774e-01   6.9745596710e-01  -2.5042741929e-01
  -4.2755929390e-01  -4.3068023901e-01  -9.9651805680e-01   1.0041008635e+00  -1.3217221904e-01
  -4.2166997226e-01  -4.2443834879e-01  -9.2706488208e-01   1.1874714504e+00  -4.9630215538e-02
  -4.1704632770e-01  -4.1890159573e-01  -8.2338003437e-01   1.2106305235e+00  -4.9728106048e-02
  -4.1367958978e-01  -4.1519105967e-01  -7.2132115859e-01   1.1704441410e+00  -9.0932835386e-02
  -4.1084966285e-01  -4.1216811989e-01  -6.1961250403e-01   1.1084217096e+00  -1.4910573924e-01
  -4.0833775233e-01  -4.0953120581e-01  -5.1778472858e-01   1.0366529433e+00  -2.1511932092e-01
  -4.0603685963e-01  -4.0714429884e-01  -4.1620974762e-01   9.6058885685e-01  -2.8362064118e-01
  -4.0388289794e-01  -4.0492942043e-01  -3.1449650688e-01   8.8227378876e-01  -3.5169109601e-01
  -4.0183252169e-01  -4.0283637546e-01  -2.1285285142e-01   8.0279644173e-01  -4.1704771538e-01
  -3.9985311918e-01  -4.0082866791e-01  -1.1114472639e-01   7.2219616986e-01  -4.7822759474e-01
  -3.9791788163e-01  -3.9887757044e-01  -9.5931918876e-03   6.4027761086e-01  -5.3390965442e-01
  -3.9600259296e-01  -3.9695819283e-01   9.2196338944e-02   5.5593694198e-01  -5.8328910627e-01
  -3.9408304632e-01  -3.9504699309e-01   1.9395979493e-01   4.6818914849e-01  -6.2525612920e-01
  -3.9213230721e-01  -3.9311909955e-01   2.9557972295e-01   3.7545596841e-01  -6.5878348850e-01
  -3.9011678658e-01  -3.9114551487e-01   3.9730827920e-01   2.7507877357e-01  -6.8274783733e-01
  -3.8798888510e-01  -3.8908805828e-01   4.9911762551e-01   1.6334675187e-01  -6.9543414631e-01
  -3.8567048920e-01  -3.8688971191e-01   6.0095966787e-01   3.4045077244e-02  -6.9415729559e-01
  -3.8300187036e-01  -3.8445126649e-01   7.0325259285e-01  -1.2613675373e-01  -6.7362283375e-01
  -3.7960165421e-01  -3.8155247422e-01   8.0416132858e-01  -3.4911844797e-01  -6.2060066204e-01
  -3.7567331486e-01  -3.7765083420e-01   8.7362944719e-01  -6.3208848271e-01  -5.3063638550e-01
  -3.7184186692e-01  -3.7369579552e-01   8.8599026432e-01  -9.3121289833e-01  -4.2361096767e-01
  -3.6818376169e-01  -3.6998793832e-01   8.4374839951e-01  -1.2308642389e+00  -3.1508518267e-01
  -3.6476920525e-01  -3.6637958505e-01   7.5868169249e-01  -1.5123681018e+00  -2.1786338474e-01
  -3.6190222515e-01  -3.6315882545e-01   6.5631025394e-01  -1.7421282349e+00  -1.4449260317e-01
  -3.5955743529e-01  -3.6064562486e-01   5.5431567135e-01  -1.9193749134e+00  -9.2803664336e-02
  -3.5747581335e-01  -3.5846924571e-01   4.5237333250e-01  -2.0651452046e+00  -5.4118140767e-02
  -3.5554555589e-01  -3.5648238098e-01   3.5037056095e-01  -2.1876365574e+00  -2.4722518103e-02
  -3.5370428246e-01  -3.5460873079e-01   2.4884957299e-01  -2.2902361801e+00  -2.6521441889e-03
  -3.5191009141e-01  -3.5279983412e-01   1.4709972938e-01  -2.3756085666e+00   1.3601595145e-02
  -3.5013002733e-01  -3.5102034870e-01   4.5304576389e-02  -2.4441112818e+00   2.4921347665e-02
  -3.4833352158e-01  -3.4923970596e-01  -5.6640839979e-02  -2.4953483085e+00   3.2047048578e-02
  -3.4648782394e-01  -3.4742733720e-01  -1.5819614417e-01  -2.5276760996e+00   3.5612384353e-02
  -3.4455195495e-01  -3.4554831069e-01  -2.6004734303e-01  -2.5384636494e+00   3.6311505764e-02
  -3.4246600922e-01  -3.4355559922e-01  -3.6194483272e-01  -2.5222901293e+00   3.4948772739e-02
  -3.4012589732e-01  -3.4137641922e-01  -4.6391954663e-01  -2.4689727085e+00   3.2824042559e-02
  -3.3729386531e-01  -3.3887537541e-01  -5.6646754890e-01  -2.3542426384e+00   3.2781638773e-02
  -3.3373119516e-01  -3.3571235521e-01  -6.5866338763e-01  -2.1346951046e+00   4.2588878744e-02
  -3.3013995431e-01  -3.3175003512e-01  -7.0870327485e-01  -1.8381589631e+00   6.9090679826e-02
  -3.2713093899e-01  -3.2852987349e-01  -7.1565933354e-01  -1.5375171154e+00   1.0798837172e-01
  -3.2444947423e-01  -3.2573200448e-01  -6.9634585938e-01  -1.2369453043e+00   1.5639412600e-01
  -3.2194996463e-01  -3.2316694398e-01  -6.5869244870e-01  -9.3728237484e-01   2.1230283683e-01
  -3.1954784063e-01  -3.2073298528e-01  -6.0650480864e-01  -6.3664841548e-01   2.7453905251e-01
  -3.1718162262e-01  -3.1836269597e-01  -5.4240674057e-01  -3.3730185785e-01   3.4114386253e-01
  -3.1479564044e-01  -3.1600054927e-01  -4.6681564394e-01  -3.6412870498e-02   4.1108816061e-01
  -3.1232750552e-01  -3.1359073161e-01  -3.8037531206e-01   2.6336595601e-01   4.8163594714e-01
  -3.0974859368e-01  -3.1106427944e-01  -2.8355811542e-01   5.5754011634e-01   5.4866628866e-01
  -3.0714129829e-01  -3.0843290792e-01  -1.8204136612e-01   8.2595021020e-01   6.0357718125e-01
  -3.0455287342e-01  -3.0584968867e-01  -8.0518066363e-02   1.0547926560e+00   6.3927157575e-01
  -3.0192288339e-01  -3.0325605817e-01   2.1306431570e-02   1.2421506939e+00   6.5072212725e-01
