# time = 0.5
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -4.9917840810e-01  -5.0000000000e-01   1.2409957576e+00   5.4619425790e-01   9.0567466811e-01
  -4.9750814511e-01  -4.9835681619e-01   1.3489068048e+00   4.6643424753e-01   9.8882238622e-01
  -4.9566236670e-01  -4.9665947403e-01   1.4530376935e+00   3.7272568201e-01   1.0694621320e+00
  -4.9337913820e-01  -4.9466525936e-01   1.5572028859e+00   2.4987249464e-01   1.1501115260e+00
  -4.9070684198e-01  -4.9209301703e-01   1.6428039514e+00   9.8449345329e-02   1.2154719036e+00
  -4.8796632188e-01  -4.8932066692e-01   1.6878164446e+00  -6.2489713426e-02   1.2475760692e+00
  -4.8525041762e-01  -4.8661197685e-01   1.6885178832e+00  -2.2339301882e-01   1.2431774482e+00
  -4.8247325112e-01  -4.8388885839e-01   1.6449778688e+00  -3.8436771187e-01   1.2022272789e+00
  -4.7971240761e-01  -4.8105764385e-01   1.5601336873e+00  -5.3554512883e-01   1.1277647505e+00
  -4.7731406729e-01  -4.7836717138e-01   1.4562134555e+00  -6.5513854434e-01   1.0392335455e+00
  -4.7535629892e-01  -4.7626096320e-01   1.3518410653e+00  -7.4234831677e-01   9.5215922104e-01
  -4.7363463088e-01  -4.7445163464e-01   1.2480222090e+00  -8.0918923439e-01   8.6706736191e-01
  -4.7205820286e-01  -4.7281762713e-01   1.1443344256e+00  -8.6151507843e-01   7.8351289749e-01
  -4.7057922324e-01  -4.7129877858e-01   1.0403881962e+00  -9.0231449074e-01   7.0118773763e-01
  -4.6916801250e-01  -4.6985966791e-01   9.3707505537e-01  -9.3297406280e-01   6.2083339694e-01
  -4.6780432622e-01  -4.6847635709e-01   8.3279934518e-01  -9.5496428309e-01   5.4129382022e-01
  -4.6647318109e-01  -4.6713229535e-01   7.2950108591e-01  -9.6854477339e-01   4.6414876912e-01
  -4.6516256736e-01  -4.6581406684e-01   6.2597978724e-01  -9.7441231890e-01   3.8860023418e-01
  -4.6386252316e-01  -4.6451106789e-01   5.2184971892e-01  -9.7270922363e-01   3.1454374888e-01
  -4.6256404824e-01  -4.6321397844e-01   4.1812177486e-01  -9.6352362067e-01   2.4288347964e-01
  -4.6125861670e-01  -4.6191411803e-01   3.1459983640e-01  -9.4690244889e-01   1.7366933014e-01
  -4.5993776484e-01  -4.6060311536e-01   2.1124076360e-01  -9.2275984687e-01   1.0710292448e-01
  -4.5859242112e-01  -4.5927241432e-01   1.0700621710e-01  -8.9050296826e-01   4.2852111555e-02
  -4.5721266704e-01  -4.5791242792e-01   3.8714025656e-03  -8.5041921159e-01  -1.7519939205e-02
  -4.5578682495e-01  -4.5651290616e-01  -1.0031902056e-01  -8.0115964521e-01  -7.4825574446e-02
  -4.5430067193e-01  -4.5506074373e-01  -2.0373528710e-01  -7.4286501504e-01  -1.2748388181e-01
  -4.5273610223e-01  -4.5354060013e-01  -3.0757828647e-01  -6.7400157270e-01  -1.7541881811e-01
  -4.5106864371e-01  -4.5193160433e-01  -4.1115307515e-01  -5.9376265108e-01  -2.1736096780e-01
  -4.4926329074e-01  -4.5020568309e-01  -5.1499661817e-01  -4.9998433401e-01  -2.5224030416e-01
  -4.4726609887e-01  -4.4832089838e-01  -6.1866853338e-01  -3.9047681685e-01  -2.7804562285e-01
  -4.4498442178e-01  -4.4621129935e-01  -7.2254938695e-01  -2.6072260210e-01  -2.9197388681e-01
  -4.4235257510e-01  -4.4375754422e-01  -8.2276755715e-01  -1.0963634261e-01  -2.8939535222e-01
  -4.3946564586e-01  -4.4094760599e-01  -9.0855558343e-01   5.1066471229e-02  -2.6751501843e-01
  -4.3633688466e-01  -4.3798368573e-01  -9.7396445886e-01   2.1241882376e-01  -2.2710613840e-01
  -4.3268516130e-01  -4.3469008358e-01  -1.0156881981e+00   3.7414104950e-01  -1.6837418827e-01
  -4.2755929390e-01  -4.3068023901e-01  -1.0157702517e+00   5.3863261556e-01  -8.8869631507e-02
  -4.2166997226e-01  -4.2443834879e-01  -9.4497750233e-01   6.3699620332e-01  -3.3374712876e-02
  -4.1704632770e-01  -4.1890159573e-01  -8.3929148089e-01   6.4941809975e-01  -3.3439045156e-02
  -4.1367958978e-01  -4.1519105967e-01  -7.3526263997e-01   6.2785995718e-01  -6.1139920212e-02
  -4.1084966285e-01  -4.1216811989e-01  -6.3159076564e-01   5.9458841623e-01  -1.0024865020e-01
  -4.0833775233e-01  -4.0953120581e-01  -5.2779746862e-01   5.5608869546e-01  -1.4462873272e-01
  -4.0603685963e-01  -4.0714429884e-01  -4.2426182886e-01   5.1528486340e-01  -1.9068135078e-01
  -4.0388289794e-01  -4.0492942043e-01  -3.2058522272e-01   4.7327355462e-01  -2.3644430271e-01
  -4.0183252169e-01  -4.0283637546e-01  -2.1697948434e-01   4.3063878379e-01  -2.8038273760e-01
  -3.9985311918e-01  -4.0082866791e-01  -1.1330794743e-01   3.8740166497e-01  -3.2151313707e-01
  -3.9791788163e-01  -3.9887757044e-01  -9.7959147958e-03   3.4345740853e-01  -3.5894733774e-01
  -3.9600259296e-01  -3.9695819283e-01   9.3958845689e-02   2.9821389782e-01  -3.9214427613e-01
  -3.9408304632e-01  -3.9504699309e-01   1.9768719709e-01   2.5114275580e-01  -4.2035782233e-01
  -3.9213230721e-01  -3.9311909955e-01   3.0126945747e-01   2.0139737250e-01  -4.4289736977e-01
  -3.9011678658e-01  -3.9114551487e-01   4.0496270525e-01   1.4755160168e-01  -4.5900769432e-01
  -3.8798888510e-01  -3.8908805828e-01   5.0873864367e-01   8.7614887416e-02  -4.6753578897e-01
  -3.8567048920e-01  -3.8688971191e-01   6.1254837921e-01   1.8253468504e-02  -4.6667646053e-01
  -3.8300187036e-01  -3.8445126649e-01   7.1681843935e-01  -6.7672691621e-02  -4.5287027166e-01
  -3.7960165421e-01  -3.8155247422e-01   8.1967898128e-01  -1.8728596808e-01  -4.1722271672e-01
  -3.7567331486e-01  -3.7765083420e-01   8.9049341587e-01  -3.3907784969e-01  -3.5673948263e-01
  -3.7184186692e-01  -3.7369579552e-01   9.0309867516e-01  -4.9953461021e-01  -2.8478680391e-01
  -3.6818376169e-01  -3.6998793832e-01   8.6004725677e-01  -6.6027341634e-01  -2.1182615905e-01
  -3.6476920525e-01  -3.6637958505e-01   7.7334388934e-01  -8.1127707757e-01  -1.4646573877e-01
  -3.6190222515e-01  -3.6315882545e-01   6.6900064931e-01  -9.3452414194e-01  -9.7140493597e-02
  -3.5955743529e-01  -3.6064562486e-01   5.6504046777e-01  -1.0296018997e+00  -6.2391838889e-02
  -3.5747581335e-01  -3.5846924571e-01   4.6113289569e-01  -1.1077950684e+00  -3.6385315256e-02
  -3.5554555589e-01  -3.5648238098e-01   3.5716325439e-01  -1.1735009280e+00  -1.6624343973e-02
  -3.5370428246e-01  -3.5460873079e-01   2.5368430542e-01  -1.2285364514e+00  -1.7880868039e-03
  -3.5191009141e-01  -3.5279983412e-01   1.4997175284e-01  -1.2743309196e+00   9.1376841509e-03
  -3.5013002733e-01  -3.5102034870e-01   4.6212705481e-02  -1.3110761370e+00   1.6746377605e-02
  -3.4833352158e-01  -3.4923970596e-01  -5.7699809747e-02  -1.3385596677e+00   2.1535454936e-02
  -3.4648782394e-01  -3.4742733720e-01  -1.6121499791e-01  -1.3558998800e+00   2.3930959333e-02
  -3.4455195495e-01  -3.4554831069e-01  -2.6503213244e-01  -1.3616854340e+00   2.4399571488e-02
  -3.4246600922e-01  -3.4355559922e-01  -3.6889685153e-01  -1.3530084763e+00   2.3482088946e-02
  -3.4012589732e-01  -3.4137641922e-01  -4.7284080233e-01  -1.3244067049e+00   2.2052447733e-02
  -3.3729386531e-01  -3.3887537541e-01  -5.7736990708e-01  -1.2628618070e+00   2.2022979931e-02
  -3.3373119516e-01  -3.3571235521e-01  -6.7134827388e-01  -1.1450905672e+00   2.8615989427e-02
  -3.3013995431e-01  -3.3175003512e-01  -7.2235769631e-01  -9.8602133122e-01   4.6433666985e-02
  -3.2713093899e-01  -3.2852987349e-01  -7.2945146796e-01  -8.2475013569e-01   7.2585745259e-02
  -3.2444947423e-01  -3.2573200448e-01  -7.0976845195e-01  -6.6351676638e-01   1.0513048435e-01
  -3.2194996463e-01  -3.2316694398e-01  -6.7139133614e-01  -5.0277111792e-01   1.4271973397e-01
  -3.1954784063e-01  -3.2073298528e-01  -6.1819933647e-01  -3.4150472586e-01   1.8456318902e-01
  -3.1718162262e-01  -3.1836269597e-01  -5.5286690489e-01  -1.8092904110e-01   2.2934382271e-01
  -3.1479564044e-01  -3.1600054927e-01  -4.7581955364e-01  -1.9526078027e-02   2.7636976761e-01
  -3.1232750552e-01  -3.1359073161e-01  -3.8771351290e-01   1.4128125226e-01   3.2380158206e-01
  -3.0974859368e-01  -3.1106427944e-01  -2.8903027888e-01   2.9908198782e-01   3.6886872354e-01
  -3.0714129829e-01  -3.0843290792e-01  -1.8555662512e-01   4.4306221001e-01   4.0578788086e-01
  -3.0455287342e-01  -3.0584968867e-01  -8.2076075893e-02   5.6581739730e-01   4.2978756635e-01
  -3.0192288339e-01  -3.0325605817e-01   2.1711646986e-02   6.6631933619e-01   4.3748787326e-01
  -2.9918504232e-01  -3.0058970861e-01   1.2515477326e-01   7.4065591258e-01   4.2409326908e-01
  -2.9625455536e-01  -2.9778037603e-01   2.2880792642e-01   7.8337825861e-01   3.8261989281e-01
  -2.9299442333e-01  -2.9472873469e-01   3.3252030521e-01   7.8385056905e-01   3.0186513578e-01
  -2.8955416173e-01  -2.9126011198e-01   4.2627722805e-01   7.3207140544e-01   1.7900771735e-01
  -2.8641489689e-01  -2.8784821147e-01   4.9539225011e-01   6.4167053444e-01   3.7960312609e-02
  -2.8367227528e-01  -2.8498158232e-01   5.4127490822e-01   5.3274645599e-01  -1.0308346774e-01
  -2.8109973593e-01  -2.8236296824e-01   5.7058029958e-01   4.1102452916e-01  -2.4367433400e-01
  -2.7855854486e-01  -2.7983650363e-01   5.8549670152e-01   2.7761166570e-01  -3.8434477810e-01
  -2.7591378759e-01  -2.7728058609e-01   5.8499756524e-01   1.3132284863e-01  -5.2535175257e-01
  -2.7306953365e-01  -2.7454698909e-01   5.6498926305e-01  -2.5946742968e-02  -6.6160209933e-01
  -2.6996238336e-01  -2.7159207822e-01   5.1873989289e-01  -1.8742518922e-01  -7.8129009909e-01
  -2.6657645717e-01  -2.6833268850e-01   4.3831884721e-01  -3.3909356244e-01  -8.6480782619e-01
  -2.6342123777e-01  -2.6482022584e-01   3.3576725116e-01  -4.4861536869e-01  -8.9058154569e-01
  -2.6083514468e-01  -2.6202224969e-01   2.3165553279e-01  -5.0983507715e-01  -8.6882959640e-01
  -2.5858769354e-01  -2.5964803967e-01   1.2805026044e-01  -5.3999091034e-01  -8.1779008207e-01
  -2.5655037453e-01  -2.5752734742e-01   2.4115434841e-02  -5.4848505311e-01  -7.4587733656e-01
  -2.5465278369e-01  -2.5557340165e-01  -7.9363763048e-02  -5.4040175269e-01  -6.5859731070e-01
  -2.5284972121e-01  -2.5373216573e-01  -1.8324135749e-01  -5.1892841324e-01  -5.5837449782e-01
  -2.5110888879e-01  -2.5196727669e-01  -2.8675616206e-01  -4.8635598117e-01  -4.4801978136e-01
