# time = 1.2
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -4.9917840810e-01  -5.0000000000e-01   1.1358991492e+00   6.4414399606e-01   9.6666203128e-01
  -4.9750814511e-01  -4.9835681619e-01   1.2346710832e+00   5.5008098891e-01   1.0554091117e+00
  -4.9566236670e-01  -4.9665947403e-01   1.3299829501e+00   4.3956805963e-01   1.1414793603e+00
  -4.9337913820e-01  -4.9466525936e-01   1.4253261215e+00   2.9468407497e-01   1.2275599652e+00
  -4.9070684198e-01  -4.9209301703e-01   1.5036772480e+00   1.1610671975e-01   1.2973220411e+00
  -4.8796632188e-01  -4.8932066692e-01   1.5448771703e+00  -7.3693069801e-02   1.3315884345e+00
  -4.8525041762e-01  -4.8661197685e-01   1.5455186899e+00  -2.6345075972e-01   1.3268939255e+00
  -4.8247325112e-01  -4.8388885839e-01   1.5056655135e+00  -4.5329270404e-01   1.2831864688e+00
  -4.7971240761e-01  -4.8105764385e-01   1.4280062030e+00  -6.3158051262e-01   1.2037098951e+00
  -4.7731406729e-01  -4.7836717138e-01   1.3328864713e+00  -7.7262046958e-01   1.1092171916e+00
  -4.7535629892e-01  -4.7626096320e-01   1.2373529767e+00  -8.7546950839e-01   1.0162794127e+00
  -4.7363463088e-01  -4.7445163464e-01   1.1423262023e+00  -9.5429699780e-01   9.2545756005e-01
  -4.7205820286e-01  -4.7281762713e-01   1.0474194459e+00  -1.0160064637e+00   8.3627660347e-01
  -4.7057922324e-01  -4.7129877858e-01   9.5227616674e-01  -1.0641224944e+00   7.4840771185e-01
  -4.6916801250e-01  -4.6985966791e-01   8.5771239199e-01  -1.1002803340e+00   6.6264233653e-01
  -4.6780432622e-01  -4.6847635709e-01   7.6226759317e-01  -1.1262141729e+00   5.7774657610e-01
  -4.6647318109e-01  -4.6713229535e-01   6.6771749171e-01  -1.1422301873e+00   4.9540657465e-01
  -4.6516256736e-01  -4.6581406684e-01   5.7296326295e-01  -1.1491501172e+00   4.1477058595e-01
  -4.6386252316e-01  -4.6451106789e-01   4.7765184304e-01  -1.1471417868e+00   3.3572710917e-01
  -4.6256404824e-01  -4.6321397844e-01   3.8270851411e-01  -1.1363091324e+00   2.5924119800e-01
