# time = 2.2
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -4.9917840810e-01  -5.0000000000e-01   1.1182931814e+00   8.2827157190e-01   1.1385163793e+00
  -4.9750814511e-01  -4.9835681619e-01   1.2155329138e+00   7.0732218728e-01   1.2430415512e+00
  -4.9566236670e-01  -4.9665947403e-01   1.3093660872e+00   5.6522083016e-01   1.3444140494e+00
  -4.9337913820e-01  -4.9466525936e-01   1.4032297970e+00   3.7892382578e-01   1.4457988525e+00
  -4.9070684198e-01  -4.9209301703e-01   1.4803646505e+00   1.4930248322e-01   1.5279640511e+00
  -4.8796632188e-01  -4.8932066692e-01   1.5209242442e+00  -9.4749289384e-02   1.5683230229e+00
  -4.8525041762e-01  -4.8661197685e-01   1.5215543035e+00  -3.3874712996e-01   1.5627944487e+00
  -4.8247325112e-01  -4.8388885839e-01   1.4823175475e+00  -5.8285350880e-01   1.5113170299e+00
  -4.7971240761e-01  -4.8105764385e-01   1.4058609409e+00  -8.1210331733e-01   1.4177112692e+00
  -4.7731406729e-01  -4.7836717138e-01   1.3122149317e+00  -9.9345847337e-01   1.3064196435e+00
  -4.7535629892e-01  -4.7626096320e-01   1.2181618718e+00  -1.1257062611e+00   1.1969592821e+00
  -4.7363463088e-01  -4.7445163464e-01   1.1246078581e+00  -1.2270662036e+00   1.0899909654e+00
  -4.7205820286e-01  -4.7281762713e-01   1.0311721285e+00  -1.3064151259e+00   9.8495523089e-01
  -4.7057922324e-01  -4.7129877858e-01   9.3750364136e-01  -1.3682850835e+00   8.8146479756e-01
  -4.6916801250e-01  -4.6985966791e-01   8.4440575772e-01  -1.4147787332e+00   7.8045182973e-01
  -4.6780432622e-01  -4.6847635709e-01   7.5044057909e-01  -1.4481259726e+00   6.8046306442e-01
  -4.6647318109e-01  -4.6713229535e-01   6.5735629156e-01  -1.4687204860e+00   5.8348441676e-01
  -4.6516256736e-01  -4.6581406684e-01   5.6407109941e-01  -1.4776189053e+00   4.8851271767e-01
  -4.6386252316e-01  -4.6451106789e-01   4.7023740969e-01  -1.4750370274e+00   3.9541664583e-01
