# time = 2.6
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -4.9917840810e-01  -5.0000000000e-01   1.1556625870e+00   9.1806436531e-01   1.2347772342e+00
  -4.9750814511e-01  -4.9835681619e-01   1.2561510535e+00   7.8400349090e-01   1.3481401579e+00
  -4.9566236670e-01  -4.9665947403e-01   1.3531190617e+00   6.2649762140e-01   1.4580838708e+00
  -4.9337913820e-01  -4.9466525936e-01   1.4501184783e+00   4.2000500335e-01   1.5680409710e+00
  -4.9070684198e-01  -4.9209301703e-01   1.5298299257e+00   1.6549136371e-01   1.6571534791e+00
  -4.8796632188e-01  -4.8932066692e-01   1.5717439611e+00  -1.0501714297e-01   1.7009250335e+00
  -4.8525041762e-01  -4.8661197685e-01   1.5723942824e+00  -3.7546596098e-01   1.6949292226e+00
  -4.8247325112e-01  -4.8388885839e-01   1.5318457041e+00  -6.4603517324e-01   1.6390995643e+00
  -4.7971240761e-01  -4.8105764385e-01   1.4528336816e+00  -9.0013734887e-01   1.5375795762e+00
  -4.7731406729e-01  -4.7836717138e-01   1.3560580520e+00  -1.1011528146e+00   1.4168783353e+00
  -4.7535629892e-01  -4.7626096320e-01   1.2588619250e+00  -1.2477373506e+00   1.2981631556e+00
  -4.7363463088e-01  -4.7445163464e-01   1.1621816138e+00  -1.3600855946e+00   1.1821507028e+00
  -4.7205820286e-01  -4.7281762713e-01   1.0656236046e+00  -1.4480366794e+00   1.0682342194e+00
  -4.7057922324e-01  -4.7129877858e-01   9.6882511085e-01  -1.5166139659e+00   9.5599368406e-01
  -4.6916801250e-01  -4.6985966791e-01   8.7261632954e-01  -1.5681480512e+00   8.4644007808e-01
  -4.6780432622e-01  -4.6847635709e-01   7.7551130872e-01  -1.6051105719e+00   7.3799726721e-01
  -4.6647318109e-01  -4.6713229535e-01   6.7931664605e-01  -1.6279378865e+00   6.3281907715e-01
  -4.6516256736e-01  -4.6581406684e-01   5.8291439472e-01  -1.6378011753e+00   5.2981752228e-01
  -4.6386252316e-01  -4.6451106789e-01   4.8594534552e-01  -1.6349396302e+00   4.2885017925e-01
  -4.6256404824e-01  -4.6321397844e-01   3.8935086882e-01  -1.6195013782e+00   3.3114977725e-01
