# time = 2.8
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -4.9917840810e-01  -5.0000000000e-01   1.1835808141e+00   9.6679422030e-01   1.2888963090e+00
  -4.9750814511e-01  -4.9835681619e-01   1.2864965059e+00   8.2561784398e-01   1.4072279219e+00
  -4.9566236670e-01  -4.9665947403e-01   1.3858066598e+00   6.5975206718e-01   1.5219904728e+00
  -4.9337913820e-01  -4.9466525936e-01   1.4851489033e+00   4.4229944867e-01   1.6367670181e+00
  -4.9070684198e-01  -4.9209301703e-01   1.5667854902e+00   1.7427695510e-01   1.7297853816e+00
  -4.8796632188e-01  -4.8932066692e-01   1.6097115977e+00  -1.1058941359e-01   1.7754755240e+00
  -4.8525041762e-01  -4.8661197685e-01   1.6103772166e+00  -3.9539296997e-01   1.7692170186e+00
  -4.8247325112e-01  -4.8388885839e-01   1.5688487274e+00  -6.8032335515e-01   1.7109404694e+00
  -4.7971240761e-01  -4.8105764385e-01   1.4879276880e+00  -9.4791271663e-01   1.6049709974e+00
  -4.7731406729e-01  -4.7836717138e-01   1.3888140189e+00  -1.1595976795e+00   1.4789795486e+00
  -4.7535629892e-01  -4.7626096320e-01   1.2892697751e+00  -1.3139626575e+00   1.3550611913e+00
  -4.7363463088e-01  -4.7445163464e-01   1.1902538565e+00  -1.4322741676e+00   1.2339640101e+00
  -4.7205820286e-01  -4.7281762713e-01   1.0913632283e+00  -1.5248935795e+00   1.1150546573e+00
  -4.7057922324e-01  -4.7129877858e-01   9.9222633258e-01  -1.5971108818e+00   9.9789470427e-01
  -4.6916801250e-01  -4.6985966791e-01   8.9369341679e-01  -1.6513803729e+00   8.8353944430e-01
  -4.6780432622e-01  -4.6847635709e-01   7.9424262975e-01  -1.6903048793e+00   7.7034366323e-01
  -4.6647318109e-01  -4.6713229535e-01   6.9572420901e-01  -1.7143439185e+00   6.6055558814e-01
  -4.6516256736e-01  -4.6581406684e-01   5.9699319995e-01  -1.7247308351e+00   5.5303954847e-01
  -4.6386252316e-01  -4.6451106789e-01   4.9768171522e-01  -1.7217175176e+00   4.4764687917e-01
  -4.6256404824e-01  -4.6321397844e-01   3.9875386464e-01  -1.7054599540e+00   3.4566433964e-01
  -4.6125861670e-01  -4.6191411803e-01   3.0002259991e-01  -1.6760412313e+00   2.4716295463e-01
  -4.5993776484e-01  -4.6060311536e-01   2.0144677449e-01  -1.6333093748e+00   1.5242966791e-01
  -4.5859242112e-01  -4.5927241432e-01   1.0203610191e-01  -1.5762150446e+00   6.0991786544e-02
  -4.5721266704e-01  -4.5791242792e-01   3.6743771546e-03  -1.5052669230e+00  -2.4926076143e-02
  -4.5578682495e-01  -4.5651290616e-01  -9.5693989130e-02  -1.4180773923e+00  -1.0647999741e-01
