# time = 0.1
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -4.9917840810e-01  -5.0000000000e-01   1.3332471471e+00   5.0107729132e-01   8.9341629316e-01
  -4.9750814511e-01  -4.9835681619e-01   1.4491800089e+00   4.2790563773e-01   9.7543850857e-01
  -4.9566236670e-01  -4.9665947403e-01   1.5610517156e+00   3.4193761201e-01   1.0549866881e+00
  -4.9337913820e-01  -4.9466525936e-01   1.6729602949e+00   2.2923237693e-01   1.1345443623e+00
  -4.9070684198e-01  -4.9209301703e-01   1.7649247695e+00   9.0317123864e-02   1.1990199393e+00
  -4.8796632188e-01  -4.8932066692e-01   1.8132834561e+00  -5.7328003265e-02   1.2306894299e+00
  -4.8525041762e-01  -4.8661197685e-01   1.8140371494e+00  -2.0494033108e-01   1.2263502100e+00
  -4.8247325112e-01  -4.8388885839e-01   1.7672606252e+00  -3.5261815058e-01   1.1859541776e+00
  -4.7971240761e-01  -4.8105764385e-01   1.6761095102e+00  -4.9130797170e-01   1.1124993946e+00
  -4.7731406729e-01  -4.7836717138e-01   1.5644642708e+00  -6.0102270126e-01   1.0251663866e+00
  -4.7535629892e-01  -4.7626096320e-01   1.4523332372e+00  -6.8102874938e-01   9.3927056878e-01
  -4.7363463088e-01  -4.7445163464e-01   1.3407968698e+00  -7.4234845555e-01   8.5533040188e-01
  -4.7205820286e-01  -4.7281762713e-01   1.2294013072e+00  -7.9035206532e-01   7.7290683470e-01
  -4.7057922324e-01  -4.7129877858e-01   1.1177280767e+00  -8.2778135190e-01   6.9169594489e-01
  -4.6916801250e-01  -4.6985966791e-01   1.0067349878e+00  -8.5590837112e-01   6.1242920937e-01
  -4.6780432622e-01  -4.6847635709e-01   8.9470776706e-01  -8.7608214564e-01   5.3396621964e-01
  -4.6647318109e-01  -4.6713229535e-01   7.8373064983e-01  -8.8854085187e-01   4.5786535457e-01
  -4.6516256736e-01  -4.6581406684e-01   6.7251390537e-01  -8.9392371882e-01   3.8333940581e-01
  -4.6386252316e-01  -4.6451106789e-01   5.6064312929e-01  -8.9236129571e-01   3.1028532114e-01
  -4.6256404824e-01  -4.6321397844e-01   4.4920436198e-01  -8.8393443557e-01   2.3959502888e-01
  -4.6125861670e-01  -4.6191411803e-01   3.3798690565e-01  -8.6868619984e-01   1.7131775761e-01
  -4.5993776484e-01  -4.6060311536e-01   2.2694441306e-01  -8.4653781927e-01   1.0565240294e-01
  -4.5859242112e-01  -4.5927241432e-01   1.1496135689e-01  -8.1694541759e-01   4.2271310988e-02
  -4.5721266704e-01  -4.5791242792e-01   4.1597734212e-03  -7.8017265357e-01  -1.7283507128e-02
  -4.5578682495e-01  -4.5651290616e-01  -1.0777590126e-01  -7.3498201967e-01  -7.3813399779e-02
  -4.5430067193e-01  -4.5506074373e-01  -2.1887988324e-01  -6.8150263581e-01  -1.2575885269e-01
  -4.5273610223e-01  -4.5354060013e-01  -3.3044233479e-01  -6.1832744393e-01  -1.7304484869e-01
  -4.5106864371e-01  -4.5193160433e-01  -4.4171665420e-01  -5.4471640889e-01  -2.1441915217e-01
  -4.4926329074e-01  -4.5020568309e-01  -5.5327972648e-01  -4.5868435781e-01  -2.4882621492e-01
  -4.4726609887e-01  -4.4832089838e-01  -6.6465843693e-01  -3.5822236762e-01  -2.7428204994e-01
  -4.4498442178e-01  -4.4621129935e-01  -7.7626164959e-01  -2.3918609404e-01  -2.8802155055e-01
  -4.4235257510e-01  -4.4375754422e-01  -8.8392994201e-01  -1.0057984091e-01  -2.8547763428e-01
  -4.3946564586e-01  -4.4094760599e-01  -9.7609541876e-01   4.6848623189e-02  -2.6389315254e-01
  -4.3633688466e-01  -4.3798368573e-01  -1.0463668285e+00   1.9487297429e-01  -2.2403091008e-01
  -4.3268516130e-01  -4.3469008358e-01  -1.0911924250e+00   3.4323664568e-01  -1.6609360776e-01
  -4.2755929390e-01  -4.3068023901e-01  -1.0912808097e+00   4.9414089370e-01  -8.7664886227e-02
  -4.2166997226e-01  -4.2443834879e-01  -1.0152256186e+00   5.8437942286e-01  -3.2921036360e-02
  -4.1704632770e-01  -4.1890159573e-01  -9.0168311554e-01   5.9577517612e-01  -3.2984656711e-02
  -4.1367958978e-01  -4.1519105967e-01  -7.8992091910e-01   5.7599769892e-01  -6.0310828401e-02
  -4.1084966285e-01  -4.1216811989e-01  -6.7854219993e-01   5.4547436821e-01  -9.8890476973e-02
  -4.0833775233e-01  -4.0953120581e-01  -5.6703302009e-01   5.1015471312e-01  -1.4267014323e-01
  -4.0603685963e-01  -4.0714429884e-01  -4.5580064710e-01   4.7272127046e-01  -1.8809971138e-01
  -4.0388289794e-01  -4.0492942043e-01  -3.4441682824e-01   4.3418009157e-01  -2.3324353473e-01
  -4.0183252169e-01  -4.0283637546e-01  -2.3310914778e-01   3.9506695149e-01  -2.7658753328e-01
  -3.9985311918e-01  -4.0082866791e-01  -1.2173078148e-01   3.5540122088e-01  -3.1716149913e-01
  -3.9791788163e-01  -3.9887757044e-01  -1.0523782042e-02   3.1508676682e-01  -3.5408928849e-01
  -3.9600259296e-01  -3.9695819283e-01   1.0094398334e-01   2.7358038301e-01  -3.8683716139e-01
  -3.9408304632e-01  -3.9504699309e-01   2.1238336979e-01   2.3039733832e-01  -4.1466908554e-01
  -3.9213230721e-01  -3.9311909955e-01   3.2366579792e-01   1.8476095531e-01  -4.3690380109e-01
  -3.9011678658e-01  -3.9114551487e-01   4.3506745658e-01   1.3536289112e-01  -4.5279630614e-01
  -3.8798888510e-01  -3.8908805828e-01   5.4655794497e-01   8.0377015206e-02  -4.6120919927e-01
  -3.8567048920e-01  -3.8688971191e-01   6.5808473424e-01   1.6744944119e-02  -4.6036172013e-01
  -3.8300187036e-01  -3.8445126649e-01   7.7010605811e-01  -6.2083572837e-02  -4.4674260885e-01
  -3.7960165421e-01  -3.8155247422e-01   8.8061307048e-01  -1.7181655529e-01  -4.1157774275e-01
  -3.7567331486e-01  -3.7765083420e-01   9.5669171316e-01  -3.1107007709e-01  -3.5191328190e-01
  -3.7184186692e-01  -3.7369579552e-01   9.7023401331e-01  -4.5827269364e-01  -2.8093451059e-01
  -3.6818376169e-01  -3.6998793832e-01   9.2398222721e-01  -6.0573402263e-01  -2.0896132585e-01
  -3.6476920525e-01  -3.6637958505e-01   8.3083349826e-01  -7.4426433063e-01  -1.4448543190e-01
  -3.6190222515e-01  -3.6315882545e-01   7.1873359073e-01  -8.5733080168e-01  -9.5827653372e-02
  -3.5955743529e-01  -3.6064562486e-01   6.0704522216e-01  -9.4455482697e-01  -6.1549173574e-02
  -3.5747581335e-01  -3.5846924571e-01   4.9541337674e-01  -1.0162889757e+00  -3.5894501282e-02
  -3.5554555589e-01  -3.5648238098e-01   3.8371484972e-01  -1.0765673005e+00  -1.6400848138e-02
  -3.5370428246e-01  -3.5460873079e-01   2.7254349296e-01  -1.1270566875e+00  -1.7652535937e-03
  -3.5191009141e-01  -3.5279983412e-01   1.6112116711e-01  -1.1690683544e+00   9.0127843722e-03
  -3.5013002733e-01  -3.5102034870e-01   4.9648889506e-02  -1.2027782620e+00   1.6518643209e-02
  -3.4833352158e-01  -3.4923970596e-01  -6.1988266030e-02  -1.2279915214e+00   2.1243052306e-02
  -3.4648782394e-01  -3.4742733720e-01  -1.7319856080e-01  -1.2438993260e+00   2.3606288865e-02
  -3.4455195495e-01  -3.4554831069e-01  -2.8473325250e-01  -1.2492069147e+00   2.4068720038e-02
  -3.4246600922e-01  -3.4355559922e-01  -3.9631907328e-01  -1.2412466294e+00   2.3163826432e-02
  -3.4012589732e-01  -3.4137641922e-01  -5.0799002781e-01  -1.2150073659e+00   2.1753721101e-02
  -3.3729386531e-01  -3.3887537541e-01  -6.2028965901e-01  -1.1585461523e+00   2.1724866836e-02
  -3.3373119516e-01  -3.3571235521e-01  -7.2125427813e-01  -1.0505030227e+00   2.8228892660e-02
  -3.3013995431e-01  -3.3175003512e-01  -7.7605577105e-01  -9.0457322406e-01   4.5805642870e-02
  -3.2713093899e-01  -3.2852987349e-01  -7.8367702522e-01  -7.5662337375e-01   7.1603933058e-02
  -3.2444947423e-01  -3.2573200448e-01  -7.6253096839e-01  -6.0870823689e-01   1.0370832716e-01
  -3.2194996463e-01  -3.2316694398e-01  -7.2130113700e-01  -4.6124054175e-01   1.4078893241e-01
  -3.1954784063e-01  -3.2073298528e-01  -6.6415511966e-01  -3.1329512359e-01   1.8206614620e-01
  -3.1718162262e-01  -3.1836269597e-01  -5.9396617892e-01  -1.6598336402e-01   2.2624076882e-01
  -3.1479564044e-01  -3.1600054927e-01  -5.1119145863e-01  -1.7912666786e-02   2.7263029802e-01
  -3.1232750552e-01  -3.1359073161e-01  -4.1653596803e-01   1.2961159170e-01   3.1942018590e-01
  -3.0974859368e-01  -3.1106427944e-01  -3.1051699090e-01   2.7437759861e-01   3.6387738358e-01
  -3.0714129829e-01  -3.0843290792e-01  -1.9935146195e-01   4.0646468887e-01   4.0029684828e-01
  -3.0455287342e-01  -3.0584968867e-01  -8.8178490873e-02   5.1907997065e-01   4.2397166845e-01
  -3.0192288339e-01  -3.0325605817e-01   2.3324528567e-02   6.1128016041e-01   4.3156767755e-01
  -2.9918504232e-01  -3.0058970861e-01   1.3445738487e-01   6.7947629031e-01   4.1835424075e-01
  -2.9625455536e-01  -2.9778037603e-01   2.4581594567e-01   7.1866957568e-01   3.7744200701e-01
  -2.9299442333e-01  -2.9472873469e-01   3.5723822391e-01   7.1910274452e-01   2.9777996857e-01
  -2.8955416173e-01  -2.9126011198e-01   4.5796507736e-01   6.7160050414e-01   1.7658503433e-01
  -2.8641489689e-01  -2.8784821147e-01   5.3221825352e-01   5.8866679908e-01   3.7446294541e-02
  -2.8367227528e-01  -2.8498158232e-01   5.8151202981e-01   4.8873996043e-01  -1.0168884738e-01
  -2.8109973593e-01  -2.8236296824e-01   6.1299622575e-01   3.7707241569e-01  -2.4037718826e-01
  -2.7855854486e-01  -2.7983650363e-01   6.2902179099e-01   2.5467964138e-01  -3.7914401625e-01
  -2.7591378759e-01  -2.7728058609e-01   6.2848586629e-01   1.2047450608e-01  -5.1824280573e-01
  -2.7306953365e-01  -2.7454698909e-01   6.0699050257e-01  -2.3804350732e-02  -6.5264931817e-01
  -2.6996238336e-01  -2.7159207822e-01   5.5730333856e-01  -1.7194437187e-01  -7.7071758935e-01
  -2.6657645717e-01  -2.6833268850e-01   4.7090418113e-01  -3.1108460497e-01  -8.5310503120e-01
  -2.6342123777e-01  -2.6482022584e-01   3.6072921399e-01  -4.1155961524e-01  -8.7852986785e-01
  -2.6083514468e-01  -2.6202224969e-01   2.4887804214e-01  -4.6772235362e-01  -8.5707217759e-01
  -2.5858769354e-01  -2.5964803967e-01   1.3757089834e-01  -4.9538714146e-01  -8.0672325807e-01
  -2.5655037453e-01  -2.5752734742e-01   2.5909656126e-02  -5.0317952766e-01  -7.3578357491e-01
  -2.5465278369e-01  -2.5557340165e-01  -8.5262122811e-02  -4.9576379375e-01  -6.4968457015e-01
  -2.5284972121e-01  -2.5373216573e-01  -1.9686194333e-01  -4.7606405836e-01  -5.5081792670e-01
  -2.5110888879e-01  -2.5196727669e-01  -3.0807202801e-01  -4.4618203317e-01  -4.4195649030e-01
  -2.4940443518e-01  -2.5025050088e-01  -4.1981446250e-01  -4.0719847404e-01  -3.2360967503e-01
  -2.4771352258e-01  -2.4855836948e-01  -5.3108404819e-01  -3.6035133300e-01  -1.9781593506e-01
  -2.4601470591e-01  -2.4686867567e-01  -6.4230665632e-01  -3.0606469762e-01  -6.4796814588e-02
  -2.4431234304e-01  -2.4516073614e-01  -7.5163285195e-01  -2.4562609999e-01   7.2732461735e-02
  -2.4261819605e-01  -2.4346394993e-01  -8.5688400610e-01  -1.8060136288e-01   2.1153483792e-01
  -2.4091346566e-01  -2.4177244216e-01  -9.5745099558e-01  -1.1157525374e-01   3.5043931508e-01
  -2.3916427906e-01  -2.4005448915e-01  -1.0529832532e+00  -3.8611702169e-02   4.8892878019e-01
  -2.3732807788e-01  -2.3827406896e-01  -1.1437499015e+00   3.9462178823e-02   6.2802889821e-01
  -2.3534180132e-01  -2.3638208681e-01  -1.2279533158e+00   1.2333494894e-01   7.6665788556e-01
