# time = 2.3
# Grid points = 474
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_uvel             4_vvel             5_wvel
  -4.9917840810e-01  -5.0000000000e-01   1.1252916377e+00   8.4979481405e-01   1.1610988771e+00
  -4.9750814511e-01  -4.9835681619e-01   1.2231397513e+00   7.2570261699e-01   1.2676973597e+00
  -4.9566236670e-01  -4.9665947403e-01   1.3175599717e+00   5.7990881206e-01   1.3710806402e+00
  -4.9337913820e-01  -4.9466525936e-01   1.4120108843e+00   3.8877093737e-01   1.4744764798e+00
  -4.9070684198e-01  -4.9209301703e-01   1.4896282263e+00   1.5318293398e-01   1.5582714981e+00
  -4.8796632188e-01  -4.8932066692e-01   1.5304414299e+00  -9.7210493308e-02   1.5994310534e+00
  -4.8525041762e-01  -4.8661197685e-01   1.5310752433e+00  -3.4754860845e-01   1.5937928690e+00
  -4.8247325112e-01  -4.8388885839e-01   1.4915927778e+00  -5.9799810348e-01   1.5412944299e+00
  -4.7971240761e-01  -4.8105764385e-01   1.4146575727e+00  -8.3320500069e-01   1.4458320174e+00
  -4.7731406729e-01  -4.7836717138e-01   1.3204254397e+00  -1.0192727140e+00   1.3323329260e+00
  -4.7535629892e-01  -4.7626096320e-01   1.2257837457e+00  -1.1549570063e+00   1.2207014133e+00
  -4.7363463088e-01  -4.7445163464e-01   1.1316442433e+00  -1.2589508338e+00   1.1116113705e+00
  -4.7205820286e-01  -4.7281762713e-01   1.0376237808e+00  -1.3403616858e+00   1.0044922399e+00
  -4.7057922324e-01  -4.7129877858e-01   9.4336911630e-01  -1.4038393833e+00   8.9894905965e-01
  -4.6916801250e-01  -4.6985966791e-01   8.4968863613e-01  -1.4515412202e+00   7.9593248438e-01
  -4.6780432622e-01  -4.6847635709e-01   7.5513544225e-01  -1.4857550386e+00   6.9396042588e-01
  -4.6647318109e-01  -4.6713229535e-01   6.6146865960e-01  -1.5068847518e+00   5.9505819059e-01
  -4.6516256736e-01  -4.6581406684e-01   5.6759972211e-01  -1.5160144488e+00   4.9820271176e-01
  -4.6386252316e-01  -4.6451106789e-01   4.7317886131e-01  -1.5133655345e+00   4.0326006354e-01
  -4.6256404824e-01  -4.6321397844e-01   3.7912271095e-01  -1.4990751222e+00   3.1138941766e-01
  -4.6125861670e-01  -4.6191411803e-01   2.8525343569e-01  -1.4732162435e+00   2.2265475514e-01
  -4.5993776484e-01  -4.6060311536e-01   1.9153191641e-01  -1.4356553145e+00   1.3731456691e-01
  -4.5859242112e-01  -4.5927241432e-01   9.7016632972e-02  -1.3854699779e+00   5.4943027240e-02
  -4.5721266704e-01  -4.5791242792e-01   3.4986150559e-03  -1.3231073625e+00  -2.2455829607e-02
  -4.5578682495e-01  -4.5651290616e-01  -9.0976501539e-02  -1.2464687815e+00  -9.5923454887e-02
  -4.5430067193e-01  -4.5506074373e-01  -1.8474956599e-01  -1.1557731992e+00  -1.6343306657e-01
  -4.5273610223e-01  -4.5354060013e-01  -2.7890948517e-01  -1.0486343795e+00  -2.2488717170e-01
  -4.5106864371e-01  -4.5193160433e-01  -3.7282611068e-01  -9.2379728515e-01  -2.7865833559e-01
  -4.4926329074e-01  -4.5020568309e-01  -4.6698632725e-01  -7.7789524428e-01  -3.2337474519e-01
  -4.4726609887e-01  -4.4832089838e-01  -5.6099080387e-01  -6.0752130096e-01  -3.5645796611e-01
  -4.4498442178e-01  -4.4621129935e-01  -6.5518459542e-01  -4.0564702054e-01  -3.7431440613e-01
  -4.4235257510e-01  -4.4375754422e-01  -7.4605708103e-01  -1.7058376930e-01  -3.7100857491e-01
  -4.3946564586e-01  -4.4094760599e-01  -8.2384487547e-01   7.9441258860e-02  -3.4295719094e-01
  -4.3633688466e-01  -4.3798368573e-01  -8.8315372936e-01   3.3047699206e-01  -2.9115160094e-01
  -4.3268516130e-01  -4.3469008358e-01  -9.2098588359e-01   5.8208836034e-01  -2.1585526631e-01
  -4.2755929390e-01  -4.3068023901e-01  -9.2105891509e-01   8.3800873130e-01  -1.1392797121e-01
  -4.2166997226e-01  -4.2443834879e-01  -8.5686561417e-01   9.9104624827e-01  -4.2782387778e-02
  -4.1704632770e-01  -4.1890159573e-01  -7.6103276958e-01   1.0103739039e+00  -4.2866022738e-02
  -4.1367958978e-01  -4.1519105967e-01  -6.6670275066e-01   9.7683455768e-01  -7.8380692523e-02
  -4.1084966285e-01  -4.1216811989e-01  -5.7269644579e-01   9.2507122534e-01  -1.2852065817e-01
  -4.0833775233e-01  -4.0953120581e-01  -4.7858004919e-01   8.6517377003e-01  -1.8541869865e-01
  -4.0603685963e-01  -4.0714429884e-01  -3.8469730033e-01   8.0169151719e-01  -2.4446098620e-01
  -4.0388289794e-01  -4.0492942043e-01  -2.9068674834e-01   7.3633063604e-01  -3.0313190249e-01
  -4.0183252169e-01  -4.0283637546e-01  -1.9674048782e-01   6.6999974168e-01  -3.5946370224e-01
  -3.9985311918e-01  -4.0082866791e-01  -1.0273460580e-01   6.0273167946e-01  -4.1219547277e-01
  -3.9791788163e-01  -3.9887757044e-01  -8.8734117799e-03   5.3436340616e-01  -4.6018854631e-01
